id,discovered_at,source_type,source_url,topic,title_candidate,category,target_keyword,patient_intent,priority,medical_risk,status,publish_date,notes
TOPIC-20260511-016,2026-05-11,clinic,,定期検診の頻度,歯科の定期検診は何か月ごと？通院間隔の目安,予防歯科,歯科 定期検診 頻度,通う頻度を知りたい,low,low,idea,2026-05-31,予防導線
TOPIC-20260511-017,2026-05-11,seo,,フッ素塗布の年齢,フッ素塗布は何歳から？子どもの予防ケアの基本,予防歯科,フッ素塗布 何歳から,子どもの予防ケアの始め方を知りたい,low,low,idea,2026-06-01,親向けSEO
TOPIC-20260511-018,2026-05-11,seasonal,,新生活の予防歯科,新生活で歯科受診を見直したい人へ 予防歯科で確認すること,予防歯科,予防歯科 新生活,生活変化に合わせたケアを知りたい,low,low,idea,2026-06-02,季節・生活変化
TOPIC-20260511-019,2026-05-11,clinic,,小児歯科の初診の流れ,小児歯科では何をする？初診で確認する内容と流れ,小児歯科,小児歯科 初診 流れ,初めての受診内容を知りたい,low,low,idea,2026-06-03,初診案内
TOPIC-20260511-020,2026-05-11,patient_question,,仕上げ磨きはいつまで,子どもの仕上げ磨きはいつまで必要？年齢ごとの目安,小児歯科,仕上げ磨き いつまで,仕上げ磨きの終わりどきを知りたい,low,low,idea,2026-06-04,保護者向け
TOPIC-20260511-021,2026-05-11,seasonal,,夏休みの子ども歯科検診,夏休みに子どもの歯科検診を受けるメリットと確認ポイント,小児歯科,子ども 歯科検診 夏休み,長期休みに受診する意味を知りたい,low,low,idea,2026-06-05,長期休み導線
TOPIC-20260511-022,2026-05-11,seo,,親知らずは抜くべきか,親知らずは抜くべき？相談の目安とレントゲンで見るポイント,親知らず,親知らず 抜くべき,抜歯が必要かどうか知りたい,high,medium,idea,2026-06-06,判断基準を整理
TOPIC-20260511-023,2026-05-11,patient_question,,親知らずが腫れたとき,親知らずが腫れたときはどうする？受診を急ぐ目安,親知らず,親知らず 腫れ どうする,腫れたときの対応を知りたい,high,high,idea,2026-06-07,急性症状の案内
TOPIC-20260511-024,2026-05-11,clinic,,インプラント相談の確認点,インプラントはどんな人が相談する？治療前に確認すること,インプラント,インプラント 相談,自分に向いているか知りたい,high,medium,idea,2026-06-08,相談前の整理
TOPIC-20260511-025,2026-05-11,seo,,インプラント治療の流れ,インプラント治療の流れは？検査からメンテナンスまで,インプラント,インプラント 治療の流れ,手順を知りたい,high,medium,idea,2026-06-09,検索意図が明確
TOPIC-20260511-026,2026-05-11,patient_question,,インプラントのメンテナンス頻度,インプラントのメンテナンスはどれくらい必要？通院の目安,インプラント,インプラント メンテナンス 頻度,どのくらい通うのか知りたい,medium,medium,idea,2026-06-10,継続管理の説明
TOPIC-20260511-027,2026-05-11,clinic,,歯医者が苦手な人の受診準備,歯医者が苦手でも通いやすくするには？受診前にできる準備,その他,歯医者 苦手 通う,不安を減らして受診したい,medium,low,idea,2026-06-11,心理的ハードル対策
TOPIC-20260511-028,2026-05-11,seasonal,,春の予約の取り方,歯科の予約はどう取る？急ぎの症状と通常予約の違い,その他,歯科 予約 取り方,予約の使い分けを知りたい,low,low,idea,2026-06-12,受付案内に近い内容
TOPIC-20260511-029,2026-05-11,clinic,,休診日のお知らせ,休診日のお知らせを確認するときの見方,お知らせ,休診日 お知らせ,休診情報を見逃さず確認したい,low,low,idea,2026-06-13,運用告知
TOPIC-20260511-030,2026-05-11,seasonal,,診療時間変更のお知らせ,診療時間が変わるときに確認したいポイント,お知らせ,診療時間 変更 お知らせ,診療時間の変更を把握したい,low,low,idea,2026-06-14,運営情報の周知
TOPIC-20260512-031,2026-05-12,seasonal,,定期検診の受診間隔に関する患者の疑問,歯科定期検診は何ヶ月ごとが目安？受診間隔の考え方,予防歯科,歯科定期検診 頻度,定期検診の適切な受診ペースを知りたい,high,low,idea,2026-05-26,患者からの問い合わせ頻度が高い季節性テーマ
"TOPIC-20260512-032","2026-05-12","clinic","","歯科定期検診の頻度と通う目安","歯科定期検診の頻度と通う目安","予防歯科","歯科定期検診の頻度と通う目安","歯科定期検診の頻度と通う目安について詳しく知りたい","medium","medium","approved","2026-05-28","手動依頼"
"MONTHLY-202606TOPIC001","2026-06-09","seasonal","https://www.gov-online.go.jp/data_room/calendar/202606/event-4233.html","歯と口の健康週間をきっかけに見直したいセルフケア","歯と口の健康週間をきっかけに見直したいセルフケア","予防歯科","歯と口の健康週間 セルフケア","歯と口の健康週間に何を見直せばよいか知りたい","high","low","approved","2026-06-10","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC002","2026-06-09","patient_question","https://www.mhlw.go.jp/content/10804000/001496569.pdf","歯科健診をしばらく受けていない人が確認したいこと","歯科健診をしばらく受けていない人が確認したいこと","予防歯科","歯科健診 久しぶり","久しぶりの歯科健診で何を確認されるか知りたい","high","low","approved","2026-06-12","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC005","2026-06-09","seasonal","https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/kenkou/nettyuu/nettyuu_taisaku/prevent.html?sf195997270=1","暑い日の水分補給と歯の健康：スポーツドリンクとの付き合い方","暑い日の水分補給と歯の健康：スポーツドリンクとの付き合い方","予防歯科","スポーツドリンク 虫歯 水分補給","水分補給と虫歯予防を両立する方法を知りたい","high","medium","approved","2026-06-19","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC008","2026-06-09","trend","https://www.gerodontology.jp/committee/001190.shtml","口腔機能低下症はどんな状態？歯科で確認できること","口腔機能低下症はどんな状態？歯科で確認できること","その他","口腔機能低下症 歯科 検査","口腔機能低下症で歯科が何を確認するか知りたい","high","high","approved","2026-06-26","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC009","2026-06-09","seasonal","","夏休み前に子どもの虫歯チェックをしておきたい理由","夏休み前に子どもの虫歯チェックをしておきたい理由","小児歯科","夏休み前 子ども 歯科検診","夏休み前に歯科を受診するメリットを知りたい","high","low","approved","2026-06-29","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC010","2026-06-09","seo","https://www.jda.or.jp/enlightenment/poster/index.html","歯ぐきから血が出るのは歯周病？セルフチェックと受診の目安","歯ぐきから血が出るのは歯周病？セルフチェックと受診の目安","歯周病治療","歯ぐき 出血 歯周病","歯ぐきから血が出る原因と対応を知りたい","high","medium","approved","2026-07-01","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC012","2026-06-09","seo","","詰め物が取れたまま放置しない方がよい理由","詰め物が取れたまま放置しない方がよい理由","虫歯治療","詰め物 取れた 放置","詰め物が取れた後の受診目安を知りたい","high","high","approved","2026-06-22","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC014","2026-06-09","patient_question","","仕上げ磨きはいつまで必要？小学生の歯みがきサポート","仕上げ磨きはいつまで必要？小学生の歯みがきサポート","小児歯科","仕上げ磨き いつまで 小学生","仕上げ磨きをいつまで続けるか知りたい","medium","low","approved","2026-07-10","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC015","2026-06-09","clinic","","定期検診でレントゲンを撮るのはなぜ？見つけやすいトラブル","定期検診でレントゲンを撮るのはなぜ？見つけやすいトラブル","予防歯科","歯科検診 レントゲン なぜ","歯科のレントゲン検査の目的を知りたい","medium","medium","approved","2026-07-13","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC018","2026-06-09","clinic","","インプラント相談前に準備しておきたい質問リスト","インプラント相談前に準備しておきたい質問リスト","インプラント","インプラント 相談 質問","相談前に確認すべきことを整理したい","medium","medium","approved","2026-07-20","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC019","2026-06-09","clinic","","ホワイトニング前に虫歯や歯周病を確認する理由","ホワイトニング前に虫歯や歯周病を確認する理由","その他","ホワイトニング 前 虫歯 歯周病","ホワイトニング前の歯科チェックが必要な理由を知りたい","medium","medium","approved","2026-07-22","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
"MONTHLY-202606TOPIC020","2026-06-09","seasonal","","夏の旅行前に歯の痛みが不安な人が確認したいこと","夏の旅行前に歯の痛みが不安な人が確認したいこと","虫歯治療","旅行前 歯が痛い 歯科","旅行前に歯科受診すべき症状を知りたい","medium","medium","approved","2026-07-24","月次ネタ候補 2026-06 / MWF 月曜・水曜・金曜の週3投稿枠"
